Status,Guidance,Ship Name,Manufacturer,Primary Category,Subcategories,Career,Role,Crew Min,Crew Max,"Crew
Compliment",Commander,Pilot,Copilot,Chief Engineer,Engineering Assistant,Primary Turret Gunner,Turret Gunner,Remote Turret Gunner,Marine Lead,Marine Rifleman,Marine Medic,Mining/Salvage/Refueling: Operator,Cargo Logistics,Scanning Operator,Torpedo Operator,Hangar Operations,Doctor (Infirmary),Source Hints,Variants,Notes,Filter Ship Name,Filter Manufacturer,Filter Primary Category,Filter Subcategories,Filter Career,Filter Role,Filter Use Ship?,Filter Review Status,Filter Guidance,Filter Variants,Ship Block,Filter Crew Min,Filter Crew Max
,Small: verify added positions.,315p,Origin Jumpworks,small,"scanning, exploration",Exploration,Pathfinder,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 1-1; 12 SCU cargo; Tags: scanning, exploration",315p,,,,,,,,,,,,,,
,Small: verify added positions.,315p,Origin Jumpworks,small,"scanning, exploration",Exploration,Pathfinder,,,Standard,,1,,,,,,,,,,,,,,,,,315p,,,,,,,,,,,,,,
,Small: verify added positions.,315p,Origin Jumpworks,small,"scanning, exploration",Exploration,Pathfinder,,,Full,,1,,,,,,,,,,,,,,,,,315p,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,325a,Origin Jumpworks,light_fighter,interdiction,Combat,Interceptor,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 4 SCU cargo; Tags: interdiction,325a,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,325a,Origin Jumpworks,light_fighter,interdiction,Combat,Interceptor,,,Standard,,1,,,,,,,,,,,,,,,,,325a,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,325a,Origin Jumpworks,light_fighter,interdiction,Combat,Interceptor,,,Full,,1,,,,,,,,,,,,,,,,,325a,,,,,,,,,,,,,,
,Small: verify added positions.,350r,Origin Jumpworks,small,,Competition,Racing,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 4 SCU cargo,350r,,,,,,,,,,,,,,
,Small: verify added positions.,350r,Origin Jumpworks,small,,Competition,Racing,,,Standard,,1,,,,,,,,,,,,,,,,,350r,,,,,,,,,,,,,,
,Small: verify added positions.,350r,Origin Jumpworks,small,,Competition,Racing,,,Full,,1,,,,,,,,,,,,,,,,,350r,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,400i,Origin Jumpworks,medium,"scanning, exploration",Exploration,Expedition,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 3-3; 2 remote turret source hints; 42 SCU cargo; Tags: scanning, exploration",400i,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,400i,Origin Jumpworks,medium,"scanning, exploration",Exploration,Expedition,,,Standard,,1,,,,,,,,,,,,,,,,,400i,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,400i,Origin Jumpworks,medium,"scanning, exploration",Exploration,Expedition,,,Full,,1,,1,,,,2,,,,,,,,,,,400i,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,600i,Origin Jumpworks,large,"scanning, exploration",Exploration,Expedition,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 1-1; 2 remote turret source hints; 44 SCU cargo; Tags: scanning, exploration","600i, 600i Executive Edition",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,600i,Origin Jumpworks,large,"scanning, exploration",Exploration,Expedition,,,Standard,,1,,,,,,2,,,,,,,,,,,"600i, 600i Executive Edition",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,600i,Origin Jumpworks,large,"scanning, exploration",Exploration,Expedition,,,Full,,1,,,,,,2,,,,,,1,,,,,"600i, 600i Executive Edition",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,600i Touring,Origin Jumpworks,large,exploration,Exploration,Luxury Touring,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 remote turret source hints; 20 SCU cargo; Tags: exploration,600i Touring,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,600i Touring,Origin Jumpworks,large,exploration,Exploration,Luxury Touring,,,Standard,,1,,,,,,2,,,,,,,,,,,600i Touring,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,600i Touring,Origin Jumpworks,large,exploration,Exploration,Luxury Touring,,,Full,,1,,,,,,2,,,,,,,,,,,600i Touring,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,85X,Origin Jumpworks,snub_fighter,exploration,Exploration,Touring,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; Tags: exploration,85X Limited,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,85X,Origin Jumpworks,snub_fighter,exploration,Exploration,Touring,,,Standard,,1,,,,,,,,,,,,,,,,,85X Limited,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,85X,Origin Jumpworks,snub_fighter,exploration,Exploration,Touring,,,Full,,1,,,,,,,,,,,,,,,,,85X Limited,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,890 Jump,Origin Jumpworks,capital,exploration,Exploration,Luxury Touring,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 manned turret source hints; 6 remote turret source hints; 388 SCU cargo; Medical tier T2; Tags: exploration,890 Jump,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,890 Jump,Origin Jumpworks,capital,exploration,Exploration,Luxury Touring,,,Standard,,1,,,,2,,,,,,,,,,,,,890 Jump,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,890 Jump,Origin Jumpworks,capital,exploration,Exploration,Luxury Touring,,,Full,1,1,1,1,2,2,,4,1,4,1,,,,,1,1,,890 Jump,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,A1 Spirit,Crusader Industries,medium,bomber,Combat,Bomber,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2; Tags: bomber,A1 Spirit,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,A1 Spirit,Crusader Industries,medium,bomber,Combat,Bomber,,,Standard,,1,,,,,,1,,,,,,,,,,,A1 Spirit,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,A1 Spirit,Crusader Industries,medium,bomber,Combat,Bomber,,,Full,,1,,,,,,2,,,,,,,,,,,A1 Spirit,,,,,,,,,,,,,,
Needs Review,Multi-crew: review preserved positions.,A2 Hercules Starlifter,Crusader Industries,large,"bomber, cargo_transport",Combat,Heavy Bomber,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 8-8; 7 remote turret source hints; 216 SCU cargo; Tags: bomber, cargo_transport","A2 Hercules Starlifter, A2 Hercules Starlifter Wikelo War Special",,,,,,,,,,,,,,
Needs Review,Multi-crew: review preserved positions.,A2 Hercules Starlifter,Crusader Industries,large,"bomber, cargo_transport",Combat,Heavy Bomber,,,Standard,,1,,,,,,,,,,,,,,,,,"A2 Hercules Starlifter, A2 Hercules Starlifter Wikelo War Special",,,,,,,,,,,,,,
Needs Review,Multi-crew: review preserved positions.,A2 Hercules Starlifter,Crusader Industries,large,"bomber, cargo_transport",Combat,Heavy Bomber,,,Full,,1,1,,,2,,6,,,,,1,,,,,,"A2 Hercules Starlifter, A2 Hercules Starlifter Wikelo War Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Apollo Medivac,Roberts Space Industries,large,medical,Support,Medical,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2; 32 SCU cargo; Tags: medical,Apollo Medivac,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Apollo Medivac,Roberts Space Industries,large,medical,Support,Medical,,,Standard,,1,,,,,1,,,,,,,,,,,,Apollo Medivac,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Apollo Medivac,Roberts Space Industries,large,medical,Support,Medical,,,Full,,1,,,,,1,,,,,,,,,,1,,Apollo Medivac,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Apollo Triage,Roberts Space Industries,large,medical,Support,Medical,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2; 32 SCU cargo; Tags: medical,"Apollo Triage, Apollo Triage Wikelo Sneak Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Apollo Triage,Roberts Space Industries,large,medical,Support,Medical,,,Standard,,1,,,,,1,,,,,,,,,,,,"Apollo Triage, Apollo Triage Wikelo Sneak Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Apollo Triage,Roberts Space Industries,large,medical,Support,Medical,,,Full,,1,,,,,1,,,,,,,,,,1,,"Apollo Triage, Apollo Triage Wikelo Sneak Special",,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Ares Star Fighter Inferno,Crusader Industries,heavy_fighter,,Combat,Heavy Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,"Ares Star Fighter Inferno, Ares Star Fighter Inferno Wikelo War Special",,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Ares Star Fighter Inferno,Crusader Industries,heavy_fighter,,Combat,Heavy Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,"Ares Star Fighter Inferno, Ares Star Fighter Inferno Wikelo War Special",,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Ares Star Fighter Inferno,Crusader Industries,heavy_fighter,,Combat,Heavy Fighter,,,Full,,1,,,,,,,,,,,,,,,,,"Ares Star Fighter Inferno, Ares Star Fighter Inferno Wikelo War Special",,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Ares Star Fighter Ion,Crusader Industries,heavy_fighter,,Combat,Heavy Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,"Ares Star Fighter Ion, Ares Star Fighter Ion Wikelo Sneak Special",,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Ares Star Fighter Ion,Crusader Industries,heavy_fighter,,Combat,Heavy Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,"Ares Star Fighter Ion, Ares Star Fighter Ion Wikelo Sneak Special",,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Ares Star Fighter Ion,Crusader Industries,heavy_fighter,,Combat,Heavy Fighter,,,Full,,1,,,,,,,,,,,,,,,,,"Ares Star Fighter Ion, Ares Star Fighter Ion Wikelo Sneak Special",,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Argo ATLS GEO IKTI,Argo Astronautics,ground_vehicle,Mech,Ground,Combat,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; Tags: mining,Argo ATLS GEO IKTI,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Argo ATLS GEO IKTI,Argo Astronautics,ground_vehicle,Mech,Ground,Combat,,,Standard,,1,,,,,,,,,,,,,,,,,Argo ATLS GEO IKTI,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Argo ATLS GEO IKTI,Argo Astronautics,ground_vehicle,Mech,Ground,Combat,,,Full,,1,,,,,,,,,,,,,,,,,Argo ATLS GEO IKTI,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Argo ATLS IKTI,Argo Astronautics,ground_vehicle,Mech,Ground,Combat,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,Argo ATLS IKTI,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Argo ATLS IKTI,Argo Astronautics,ground_vehicle,Mech,Ground,Combat,,,Standard,,1,,,,,,,,,,,,,,,,,Argo ATLS IKTI,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Argo ATLS IKTI,Argo Astronautics,ground_vehicle,Mech,Ground,Combat,,,Full,,1,,,,,,,,,,,,,,,,,Argo ATLS IKTI,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Arrow,Anvil Aerospace,light_fighter,,Combat,Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,Arrow,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Arrow,Anvil Aerospace,light_fighter,,Combat,Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,Arrow,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Arrow,Anvil Aerospace,light_fighter,,Combat,Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,Arrow,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Asgard,Anvil Aerospace,medium,troop_transport,Combat,Dropship,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 1 manned turret source hints; 180 SCU cargo; Tags: troop_transport,"Asgard, Asgard Wikelo War Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Asgard,Anvil Aerospace,medium,troop_transport,Combat,Dropship,,,Standard,,1,,,,1,,,,,,,,,,,,,"Asgard, Asgard Wikelo War Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Asgard,Anvil Aerospace,medium,troop_transport,Combat,Dropship,,,Full,,1,,,,1,,,,,,,,,,,,,"Asgard, Asgard Wikelo War Special",,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,ATLS,Argo Astronautics,ground_vehicle,Mech_cargo_transport,Ground,Cargo,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; Tags: cargo_transport,ATLS,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,ATLS,Argo Astronautics,ground_vehicle,Mech_cargo_transport,Ground,Cargo,,,Standard,,1,,,,,,,,,,,,,,,,,ATLS,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,ATLS,Argo Astronautics,ground_vehicle,Mech_cargo_transport,Ground,Cargo,,,Full,,1,,,,,,,,,,,,,,,,,ATLS,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,ATLS GEO,Argo Astronautics,ground_vehicle,mech_mining,Ground,Mining,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; Tags: mining,ATLS GEO,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,ATLS GEO,Argo Astronautics,ground_vehicle,mech_mining,Ground,Mining,,,Standard,,1,,,,,,,,,,,,,,,,,ATLS GEO,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,ATLS GEO,Argo Astronautics,ground_vehicle,mech_mining,Ground,Mining,,,Full,,1,,,,,,,,,,,,,,,,,ATLS GEO,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I CL,Roberts Space Industries,small,cargo_transport,Transporter,Light Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 6 SCU cargo; Tags: cargo_transport,Aurora Mk I CL,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I CL,Roberts Space Industries,small,cargo_transport,Transporter,Light Freight,,,Standard,,1,,,,,,,,,,,,,,,,,Aurora Mk I CL,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I CL,Roberts Space Industries,small,cargo_transport,Transporter,Light Freight,,,Full,,1,,,,,,,,,,,,,,,,,Aurora Mk I CL,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I ES,Roberts Space Industries,small,exploration,Multi-Role,Starter / Pathfinder,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 3 SCU cargo; Tags: exploration,Aurora Mk I ES,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I ES,Roberts Space Industries,small,exploration,Multi-Role,Starter / Pathfinder,,,Standard,,1,,,,,,,,,,,,,,,,,Aurora Mk I ES,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I ES,Roberts Space Industries,small,exploration,Multi-Role,Starter / Pathfinder,,,Full,,1,,,,,,,,,,,,,,,,,Aurora Mk I ES,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I LN,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 3 SCU cargo; Tags: cargo_transport,Aurora Mk I LN,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I LN,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,Aurora Mk I LN,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I LN,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,Aurora Mk I LN,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I LX,Roberts Space Industries,small,exploration,Exploration,Pathfinder,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 3 SCU cargo; Tags: exploration,Aurora Mk I LX,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I LX,Roberts Space Industries,small,exploration,Exploration,Pathfinder,,,Standard,,1,,,,,,,,,,,,,,,,,Aurora Mk I LX,,,,,,,,,,,,,,
,Small: verify added positions.,Aurora Mk I LX,Roberts Space Industries,small,exploration,Exploration,Pathfinder,,,Full,,1,,,,,,,,,,,,,,,,,Aurora Mk I LX,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I MR,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 3 SCU cargo; Tags: cargo_transport,Aurora Mk I MR,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I MR,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,Aurora Mk I MR,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I MR,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,Aurora Mk I MR,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I SE,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 6 SCU cargo; Tags: cargo_transport,Aurora Mk I SE,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I SE,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,Aurora Mk I SE,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk I SE,Roberts Space Industries,light_fighter,cargo_transport,Combat,Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,Aurora Mk I SE,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk II,Roberts Space Industries,light_fighter,cargo_transport,Multi-Role,Starter / Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 SCU cargo; Tags: cargo_transport,Aurora Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk II,Roberts Space Industries,light_fighter,cargo_transport,Multi-Role,Starter / Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,Aurora Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Aurora Mk II,Roberts Space Industries,light_fighter,cargo_transport,Multi-Role,Starter / Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,Aurora Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Avenger Stalker,Aegis Dynamics,light_fighter,"carrier, cargo_transport, interdiction",Combat,Interceptor,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 1-1; Tags: carrier, cargo_transport, interdiction",Avenger Stalker,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Avenger Stalker,Aegis Dynamics,light_fighter,"carrier, cargo_transport, interdiction",Combat,Interceptor,,,Standard,,1,,,,,,,,,,,,,,,,,Avenger Stalker,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Avenger Stalker,Aegis Dynamics,light_fighter,"carrier, cargo_transport, interdiction",Combat,Interceptor,,,Full,,1,,,,,,,,,,,,,,,,,Avenger Stalker,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Titan,Aegis Dynamics,small,cargo_transport,Transporter,Light Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 8 SCU cargo; Tags: cargo_transport,Avenger Titan,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Titan,Aegis Dynamics,small,cargo_transport,Transporter,Light Freight,,,Standard,,1,,,,,,,,,,,,,,,,,Avenger Titan,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Titan,Aegis Dynamics,small,cargo_transport,Transporter,Light Freight,,,Full,,1,,,,,,,,,,,,,,,,,Avenger Titan,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Titan Renegade,Aegis Dynamics,small,cargo_transport,Transporter,Light Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 8 SCU cargo; Tags: cargo_transport,Avenger Titan Renegade,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Titan Renegade,Aegis Dynamics,small,cargo_transport,Transporter,Light Freight,,,Standard,,1,,,,,,,,,,,,,,,,,Avenger Titan Renegade,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Titan Renegade,Aegis Dynamics,small,cargo_transport,Transporter,Light Freight,,,Full,,1,,,,,,,,,,,,,,,,,Avenger Titan Renegade,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Warlock,Aegis Dynamics,small,"interdiction, emp_qed",Combat,Interdiction,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 1-1; Tags: interdiction, emp_qed",Avenger Warlock,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Warlock,Aegis Dynamics,small,"interdiction, emp_qed",Combat,Interdiction,,,Standard,,1,,,,,,,,,,,,,,,,,Avenger Warlock,,,,,,,,,,,,,,
,Small: verify added positions.,Avenger Warlock,Aegis Dynamics,small,"interdiction, emp_qed",Combat,Interdiction,,,Full,,1,,,,,,,,,,,,,,,,,Avenger Warlock,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Ballista,Anvil Aerospace,ground_vehicle,,Combat,Anti-Air,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2; 2 remote turret source hints,"Ballista, Ballista Dunestalker, Ballista Snowblind",,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Ballista,Anvil Aerospace,ground_vehicle,,Combat,Anti-Air,,,Standard,,1,,,,,,,,,,,,,,,,,"Ballista, Ballista Dunestalker, Ballista Snowblind",,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Ballista,Anvil Aerospace,ground_vehicle,,Combat,Anti-Air,,,Full,,1,,,,1,,,,,,,,,,,,,"Ballista, Ballista Dunestalker, Ballista Snowblind",,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Blade,Esperia,light_fighter,,Combat,Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,Blade,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Blade,Esperia,light_fighter,,Combat,Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,Blade,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Blade,Esperia,light_fighter,,Combat,Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,Blade,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Buccaneer,Drake Interplanetary,light_fighter,interdiction,Combat,Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; Tags: interdiction,Buccaneer,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Buccaneer,Drake Interplanetary,light_fighter,interdiction,Combat,Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,Buccaneer,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Buccaneer,Drake Interplanetary,light_fighter,interdiction,Combat,Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,Buccaneer,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,C1 Spirit,Crusader Industries,medium,cargo_transport,Transporter,Light Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2; 64 SCU cargo; Tags: cargo_transport,"C1 Spirit, C1 Spirit Wikelo Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,C1 Spirit,Crusader Industries,medium,cargo_transport,Transporter,Light Freight,,,Standard,,1,,,,,,1,,,,,,,,,,,"C1 Spirit, C1 Spirit Wikelo Special",,,,,,,,,,,,,,
